"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Customer Service","1","History","4","0","Transfer","0"
"0","Backoffice","0","Master","25","0","Users","0"
"0","Backoffice","0","Google Authenticator","90","0","","0"
"0","Merchant","2","History","6","0","Mutation","0"
"0","Merchant","2","History","6","0","Transfer","0"
"13","Backoffice","5","Settlement","106","0","Manage Settlement","0"
"0","Backoffice","0","Cashflow","7","0","Special Transfer","0"
"0","Backoffice","0","Notification Sender","37","0","","0"
"0","Backoffice","0","Company","22","0","Waiting","0"
"0","Admin","0","History","19","0","Refund","0"
"0","Backoffice","8","Cashflow","8","0","Transfer Assignment","0"
"0","Backoffice","0","Master","20","0","Waiting","0"
"0","Customer Service","2","History","12","0","Mutation","0"
"0","Supervisor","2","History","6","0","Mutation","0"
"0","Merchant","0","Transaction","9","0","Special Transfer","0"
"0","Backoffice","0","Master","22","0","Company","0"
"0","Merchant","0","Transaction","5","0","Flop","0"
"0","Backoffice","0","Master","23","0","Group","0"
"0","Admin Crypto","0","Transaction","3","0","Special Transfer","0"
"0","Backoffice","0","Settings","2","0","Account","0"
"0","Merchant","0","Authentication","12","0","","0"
"1","CS Admin","0","Master","2","0","Users","0"
"0","Supervisor","1","History","4","0","Transfer","0"
"0","Merchant","0","Transaction","9","0","Transfer","0"
"0","Merchant","2","Transaction","5","0","USDT","0"
"0","CS Admin","0","Settings","2","0","Account","0"
"0","Admin Crypto","1","Transaction","3","0","Transfer","0"
"0","Marketing","0","Home","2","0","","0"
"0","Supervisor","1","Transaction","1","0","USDT","0"
"0","CS Admin","2","History","8","0","Transfer","0"
"0","Admin","1","History","4","0","Transfer","0"
"0","Merchant","0","Home","2","0","","0"
"0","Backoffice","0","Home","10","0","Dashboard","0"
"0","Backoffice","0","Cashflow","3","0","Refund","0"
"0","Supervisor","0","Authentication","1","0","","0"
"0","CS Admin","0","History","1","0","GenerateQR","0"
"0","Customer Service","0","Home","1","0","","0"
"0","Supervisor","0","History","1","0","Transaction","0"
"0","Admin Crypto","0","History","1","0","Report Transfer","0"
"0","Admin Crypto","1","History","5","0","Transfer","0"
"0","Supervisor","0","History","1","0","GenerateQR","0"
"0","Merchant","0","Transaction","8","0","GenerateQR","0"
"0","Marketing","0","Settings","2","0","Account","0"
"0","Marketing","0","Authentication","1","0","","0"
"0","CS Admin","0","Master","1","0","Currency","0"
"0","Backoffice","2","Cashflow","1","0","USDT Settlement","0"
"0","Merchant","0","Settings","2","0","Account","0"
"0","Merchant","0","History","1","0","GenerateQR","0"
"0","Merchant","0","Transaction","7","0","Manual Settlement","0"
"0","Admin Crypto","2","Transaction","1","0","USDT","0"
"0","Admin","0","History","1","0","GenerateQR","0"
"0","Admin Crypto","0","History","1","0","USDT","0"
"0","Supervisor","0","Transaction","6","0","Transfer","0"
"0","Backoffice","0","Home","5","0","Group","0"
"0","Admin","0","History","2","0","Mutation","0"
"0","Supervisor","0","Home","1","0","","0"
"0","Supervisor","0","Settings","2","0","Account","0"
"0","Admin Crypto","0","History","1","0","Manual Settlement","0"
"0","Admin","0","Report","1","0","Transfer","0"
"0","Admin Crypto","0","Transaction","3","0","Manual Settlement","0"
"0","CS Admin","0","Authentication","1","0","","0"
"0","Group","0","Settings","2","0","Account","0"
"0","Customer Service","0","Settings","2","0","Account","0"
"0","Merchant","0","Report","1","0","Transaction","0"
"0","Admin","0","Settings","2","0","Account","0"
"0","Admin Crypto","0","Transaction","3","0","Flop","0"
"0","Backoffice","0","Authentication","4","0","","0"
"0","Supervisor","0","Transaction","2","0","Manual Settlement","0"
"0","Customer Service","0","History","1","0","GenerateQR","0"
"0","Customer Service","0","Authentication","1","0","","0"
"0","Supervisor","0","Report","1","0","Transaction","0"
"0","Admin Crypto","0","Home","3","0","","0"
"0","Admin","0","Home","4","0","","0"
"0","Admin Crypto","0","Settings","2","0","Account","0"
"0","Customer Service","0","Transaction","1","0","Transfer","0"
"0","Admin","0","Report","1","0","RRN Dispute","0"
"0","Admin","0","Report","1","0","Mutation","0"
"0","Backoffice","0","Home","5","0","User","0"
"0","Merchant","0","History","1","0","Transaction","0"
"0","Customer Service","0","History","1","0","Transaction","0"
"0","Group","0","Authentication","1","0","","0"
"0","Admin","0","Report","1","0","Batch","0"
"0","Admin Crypto","0","History","1","0","Mutation","0"
"0","Admin","0","Authentication","1","0","","0"
"0","CS Admin","0","Master","1","0","Company","0"
"0","Admin","0","Report","1","0","Transaction","0"
"0","Admin Crypto","0","Authentication","1","0","","0"
"0","Admin","0","Report","1","0","Company","0"
"0","Admin Crypto","1","Cashflow","0","0","USDT","0"
"0","Customer Service","0","Report","1","0","Transaction","0"
"0","Admin","0","Report","1","0","Bank Statement","0"
"0","CS Admin","0","History","1","0","Transaction","0"
"1","Admin","0","History","0","0","Transaction","0"
