"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","GarudaPay API","0","Mutasi","30","0","Transfer","0"
"0","GarudaPay API","0","Transfer","2","0","Inquiry Transfer","0"
"0","GarudaPay API","6","History","22","0","Transfer","0"
"0","GarudaPay API","0","Authentication","10","0","Login","0"
"0","GarudaPay API","0","Transfer","10","0","Transfer","0"
"0","GarudaPay API","0","History","8","0","Qris","0"
"0","GarudaPay API","0","Transfer","2","0","Inquiry USDT","0"
"0","GarudaPay API","1","Backoffice","2","0","List Settlement USDT","0"
"0","GarudaPay API","0","Backoffice","20","0","Approval Test","0"
"0","GarudaPay API","0","","7","0","","0"
"0","GarudaPay API","0","Transaction","8","0","QRIS","0"
"0","GarudaPay API","0","Balance","10","0","Get Balance QRIS","0"
"0","GarudaPay API","0","Transfer","6","0","Special Transfer","0"
"0","GarudaPay API","0","Transfer","6","0","Manual Transfer","0"
"0","GarudaPay API","0","Transfer","2","0","Inquiry Manual Transfer","0"
"0","GarudaPay API","0","Transfer","7","0","USDT Transfer","0"
"0","GarudaPay API","0","Backoffice","4","0","Assignment Test","0"
"0","GarudaPay API","2","Transfer","0","0","Flop Transfer","0"
"0","GarudaPay API","2","Transfer","0","0","Inquiry Flop","0"
"0","GarudaPay API","0","Backoffice","2","0","Add Company","0"
"0","GarudaPay API","0","Balance","3","0","Get Balance Transfer","0"
"0","GarudaPay API","0","Transfer","2","0","Inquiry Special Transfer","0"
